Neighborhood,Average Rent
Battery Park City,5605
Carnegie Hill,4458
Central Harlem,2965
Chelsea,4370
Chinatown,5116
Civic Center,4489
Clinton,4053
East Harlem,2965
East Village,4320
Financial District,4142
Flatiron,4276
Gramercy,4275
Greenwich Village,4378
Hamilton Heights,2965
Hudson Yards,4416
Inwood,2375
Lenox Hill,4231
Lincoln Square,4795
Little Italy,5607
Lower East Side,4676
Manhattan Valley,4711
Manhattanville,2965
Marble Hill,1708
Midtown,4022
Midtown South,4276
Morningside Heights,4388
Murray Hill,4143
Noho,4394
Roosevelt Island,3416
Soho,5301
Stuyvesant Town,3611
Sutton Place,3941
Tribeca,5607
Tudor City,3808
Turtle Bay,3906
Upper East Side,4038
Upper West Side,4668
Washington Heights,2284
West Village,4598
Yorkville,4458
